# Region type : patch inlet
# Faces  :      1347
# Area   :      1.67632194e-04
# Time          	sum(phi)
0.001992        	-6.35322278e-05
0.001996        	-6.36387465e-05
0.002           	-6.37450552e-05
0.002004        	-6.38512051e-05
0.002008        	-6.39572239e-05
0.002012        	-6.40631324e-05
0.002016        	-6.41689628e-05
0.00202         	-6.42747396e-05
0.002024        	-6.43804631e-05
0.002028        	-6.44861206e-05
0.002032        	-6.45916728e-05
0.002036        	-6.46970858e-05
0.00204         	-6.48023358e-05
0.002044        	-6.49073878e-05
0.002048        	-6.50122406e-05
0.002052        	-6.51169505e-05
0.002056        	-6.52215578e-05
0.00206         	-6.53260805e-05
0.002064        	-6.54305016e-05
0.002068        	-6.55347974e-05
0.002072        	-6.56389373e-05
0.002076        	-6.57428981e-05
0.00208         	-6.58466830e-05
0.002084        	-6.59502920e-05
0.002088        	-6.60537314e-05
0.002092        	-6.61570085e-05
0.002096        	-6.62601295e-05
0.0021          	-6.63631029e-05
0.002104        	-6.64659542e-05
0.002108        	-6.65687248e-05
0.002112        	-6.66714276e-05
0.002116        	-6.67740639e-05
0.00212         	-6.68766234e-05
0.002124        	-6.69790854e-05
0.002128        	-6.70814295e-05
0.002132        	-6.71836420e-05
0.002136        	-6.72857278e-05
0.00214         	-6.73876938e-05
0.002144        	-6.74895480e-05
0.002148        	-6.75912948e-05
0.002152        	-6.76929244e-05
0.002156        	-6.77944117e-05
0.00216         	-6.78957447e-05
0.002164        	-6.79968965e-05
0.002168        	-6.80977948e-05
0.002172        	-6.81985304e-05
0.002176        	-6.82992865e-05
0.00218         	-6.84000996e-05
0.002184        	-6.85009216e-05
0.002188        	-6.86016831e-05
0.002192        	-6.87023371e-05
0.002196        	-6.88028278e-05
0.0022          	-6.89031121e-05
0.002204        	-6.90031739e-05
0.002208        	-6.91030251e-05
0.002212        	-6.92026952e-05
0.002216        	-6.93022442e-05
0.00222         	-6.94017524e-05
0.002224        	-6.95012520e-05
0.002228        	-6.96007266e-05
0.002232        	-6.97001315e-05
0.002236        	-6.97994304e-05
0.00224         	-6.98985979e-05
0.002244        	-6.99976319e-05
0.002248        	-7.00965464e-05
0.002252        	-7.01953562e-05
0.002256        	-7.02940590e-05
0.00226         	-7.03926195e-05
0.002264        	-7.04910195e-05
0.002268        	-7.05893076e-05
0.002272        	-7.06875275e-05
0.002276        	-7.07856969e-05
0.00228         	-7.08837939e-05
0.002284        	-7.09817790e-05
0.002288        	-7.10796245e-05
0.002292        	-7.11773089e-05
0.002296        	-7.12748334e-05
0.0023          	-7.13722070e-05
0.002304        	-7.14694316e-05
0.002308        	-7.15665043e-05
0.002312        	-7.16634242e-05
0.002316        	-7.17602016e-05
0.00232         	-7.18568553e-05
0.002324        	-7.19534293e-05
0.002328        	-7.20499561e-05
0.002332        	-7.21464392e-05
0.002336        	-7.22428691e-05
0.00234         	-7.23392147e-05
0.002344        	-7.24354445e-05
0.002348        	-7.25315349e-05
0.002352        	-7.26274825e-05
0.002356        	-7.27232896e-05
0.00236         	-7.28189596e-05
0.002364        	-7.29144972e-05
0.002368        	-7.30099087e-05
0.002372        	-7.31051999e-05
0.002376        	-7.32003767e-05
0.00238         	-7.32954359e-05
0.002384        	-7.33903719e-05
0.002388        	-7.34851821e-05
0.002392        	-7.35798643e-05
0.002396        	-7.36744113e-05
0.0024          	-7.37688234e-05
0.002404        	-7.38631038e-05
0.002408        	-7.39572553e-05
0.002412        	-7.40512836e-05
0.002416        	-7.41451938e-05
0.00242         	-7.42389896e-05
0.002424        	-7.43326751e-05
0.002428        	-7.44262546e-05
0.002432        	-7.45197291e-05
0.002436        	-7.46130970e-05
0.00244         	-7.47063490e-05
0.002444        	-7.47994818e-05
0.002448        	-7.48925008e-05
0.002452        	-7.49854051e-05
0.002456        	-7.50781952e-05
0.00246         	-7.51708772e-05
0.002464        	-7.52634516e-05
0.002468        	-7.53559134e-05
0.002472        	-7.54482583e-05
0.002476        	-7.55404832e-05
0.00248         	-7.56325853e-05
0.002484        	-7.57245610e-05
0.002488        	-7.58164087e-05
0.002492        	-7.59081279e-05
0.002496        	-7.59997192e-05
0.0025          	-7.60911831e-05
0.002504        	-7.61825256e-05
0.002508        	-7.62737461e-05
0.002512        	-7.63648204e-05
0.002516        	-7.64556896e-05
0.00252         	-7.65463290e-05
0.002524        	-7.66366841e-05
0.002528        	-7.67268753e-05
0.002532        	-7.68170267e-05
0.002536        	-7.69072315e-05
0.00254         	-7.69975095e-05
0.002544        	-7.70878121e-05
0.002548        	-7.71780486e-05
0.002552        	-7.72681378e-05
0.002556        	-7.73580372e-05
0.00256         	-7.74477431e-05
0.002564        	-7.75372956e-05
0.002568        	-7.76267366e-05
0.002572        	-7.77161118e-05
0.002576        	-7.78054237e-05
0.00258         	-7.78946347e-05
0.002584        	-7.79837178e-05
0.002588        	-7.80726561e-05
0.002592        	-7.81614591e-05
0.002596        	-7.82501393e-05
0.0026          	-7.83387078e-05
0.002604        	-7.84271453e-05
0.002608        	-7.85153526e-05
0.002612        	-7.86030560e-05
0.002616        	-7.86900722e-05
0.00262         	-7.87767229e-05
0.002624        	-7.88634991e-05
0.002628        	-7.89506150e-05
0.002632        	-7.90380013e-05
0.002636        	-7.91254496e-05
0.00264         	-7.92126975e-05
0.002644        	-7.92996300e-05
0.002648        	-7.93864041e-05
0.002652        	-7.94731498e-05
0.002656        	-7.95599136e-05
0.00266         	-7.96466452e-05
0.002664        	-7.97333206e-05
0.002668        	-7.98199412e-05
0.002672        	-7.99064964e-05
0.002676        	-7.99929693e-05
0.00268         	-8.00793404e-05
0.002684        	-8.01656166e-05
0.002688        	-8.02517999e-05
0.002692        	-8.03378902e-05
0.002696        	-8.04238758e-05
0.0027          	-8.05097416e-05
0.002704        	-8.05954934e-05
0.002708        	-8.06811365e-05
0.002712        	-8.07666786e-05
0.002716        	-8.08521223e-05
0.00272         	-8.09374695e-05
0.002724        	-8.10227200e-05
0.002728        	-8.11078679e-05
0.002732        	-8.11929084e-05
0.002736        	-8.12778380e-05
0.00274         	-8.13626551e-05
0.002744        	-8.14473600e-05
0.002748        	-8.15319597e-05
0.002752        	-8.16164589e-05
0.002756        	-8.17008501e-05
0.00276         	-8.17851293e-05
0.002764        	-8.18693024e-05
0.002768        	-8.19533672e-05
0.002772        	-8.20373223e-05
0.002776        	-8.21211600e-05
0.00278         	-8.22048754e-05
0.002784        	-8.22884653e-05
0.002788        	-8.23719354e-05
0.002792        	-8.24552928e-05
0.002796        	-8.25385440e-05
0.0028          	-8.26216952e-05
0.002804        	-8.27047518e-05
0.002808        	-8.27877162e-05
0.002812        	-8.28705879e-05
0.002816        	-8.29533658e-05
0.00282         	-8.30360495e-05
0.002824        	-8.31186380e-05
0.002828        	-8.32011301e-05
0.002832        	-8.32835221e-05
0.002836        	-8.33658138e-05
0.00284         	-8.34480037e-05
0.002844        	-8.35300932e-05
0.002848        	-8.36120818e-05
0.002852        	-8.36939693e-05
0.002856        	-8.37757567e-05
0.00286         	-8.38574417e-05
0.002864        	-8.39390243e-05
0.002868        	-8.40205064e-05
0.002872        	-8.41018888e-05
0.002876        	-8.41831708e-05
0.00288         	-8.42643499e-05
0.002884        	-8.43454211e-05
0.002888        	-8.44263870e-05
0.002892        	-8.45072479e-05
0.002896        	-8.45880028e-05
0.0029          	-8.46686477e-05
0.002904        	-8.47491781e-05
0.002908        	-8.48295917e-05
0.002912        	-8.49098829e-05
0.002916        	-8.49900454e-05
0.00292         	-8.50700810e-05
0.002924        	-8.51499905e-05
0.002928        	-8.52297796e-05
0.002932        	-8.53094493e-05
0.002936        	-8.53890017e-05
0.00294         	-8.54684370e-05
0.002944        	-8.55477554e-05
0.002948        	-8.56269532e-05
0.002952        	-8.57060291e-05
0.002956        	-8.57849781e-05
0.00296         	-8.58637962e-05
0.002964        	-8.59424670e-05
0.002968        	-8.60209564e-05
0.002972        	-8.60992374e-05
0.002976        	-8.61774228e-05
0.00298         	-8.62556115e-05
0.002984        	-8.63338345e-05
0.002988        	-8.64120731e-05
0.002992        	-8.64903007e-05
0.002996        	-8.65684704e-05
0.003           	-8.66465242e-05
0.003004        	-8.67244265e-05
0.003008        	-8.68021616e-05
0.003012        	-8.68797423e-05
0.003016        	-8.69571772e-05
0.00302         	-8.70344253e-05
0.003024        	-8.71114457e-05
0.003028        	-8.71883712e-05
0.003032        	-8.72653038e-05
0.003036        	-8.73422218e-05
0.00304         	-8.74190810e-05
0.003044        	-8.74958327e-05
0.003048        	-8.75724497e-05
0.003052        	-8.76489079e-05
0.003056        	-8.77251974e-05
0.00306         	-8.78013440e-05
0.003064        	-8.78774423e-05
0.003068        	-8.79535231e-05
0.003072        	-8.80295443e-05
0.003076        	-8.81054655e-05
0.00308         	-8.81812635e-05
0.003084        	-8.82569324e-05
0.003088        	-8.83324827e-05
0.003092        	-8.84079287e-05
0.003096        	-8.84832784e-05
0.0031          	-8.85585297e-05
0.003104        	-8.86336752e-05
0.003108        	-8.87087083e-05
0.003112        	-8.87836219e-05
0.003116        	-8.88584128e-05
0.00312         	-8.89330825e-05
0.003124        	-8.90076372e-05
0.003128        	-8.90820854e-05
0.003132        	-8.91564393e-05
0.003136        	-8.92307142e-05
0.00314         	-8.93049072e-05
0.003144        	-8.93790030e-05
0.003148        	-8.94529971e-05
0.003152        	-8.95268852e-05
0.003156        	-8.96006609e-05
0.00316         	-8.96743018e-05
0.003164        	-8.97477159e-05
0.003168        	-8.98207018e-05
0.003172        	-8.98934581e-05
0.003176        	-8.99663930e-05
0.00318         	-9.00396783e-05
0.003184        	-9.01132305e-05
0.003188        	-9.01868974e-05
0.003192        	-9.02605123e-05
0.003196        	-9.03339435e-05
0.0032          	-9.04071545e-05
0.003204        	-9.04801426e-05
0.003208        	-9.05529063e-05
0.003212        	-9.06254442e-05
0.003216        	-9.06977928e-05
0.00322         	-9.07700064e-05
0.003224        	-9.08421437e-05
0.003228        	-9.09142093e-05
0.003232        	-9.09861843e-05
0.003236        	-9.10580716e-05
0.00324         	-9.11299685e-05
0.003244        	-9.12019102e-05
0.003248        	-9.12738728e-05
0.003252        	-9.13457934e-05
0.003256        	-9.14176121e-05
0.00326         	-9.14892897e-05
